                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5984,                  3.603,                 1.8024,                0.00803,                0.53373,                0.03476,                0.01256,                 1.8296,                 3.4646,                 2.0349,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.5566,                 3.5583,                 1.7332,                0.00891,                0.54762,                0.18439,                0.10872,                 1.8813,                   3.43,                 2.0576,             9.8049e-05,             9.8049e-05,             9.8049e-05
                      3,                 1.4908,                 3.3122,                 1.6203,                0.00775,                0.49603,                0.26545,                0.14872,                 1.7692,                 3.4984,                 2.0365,             0.00015097,             0.00015097,             0.00015097
                      4,                 1.4348,                 2.8488,                 1.5375,                0.01328,                0.62103,                0.43296,                0.19967,                 1.5844,                 3.3658,                  1.822,             0.00020162,             0.00020162,             0.00020162
                      5,                   1.39,                 2.2724,                 1.4995,                0.01511,                0.62103,                0.42978,                0.18912,                 1.6414,                 3.3271,                 1.9005,             0.00025001,             0.00025001,             0.00025001
                      6,                 1.4619,                 2.0211,                 1.5573,                0.35493,                0.53138,                0.42933,                0.20197,                 1.6942,                 3.2519,                 1.9629,             0.00029613,             0.00029613,             0.00029613
                      7,                 1.4134,                 2.0293,                 1.5511,                0.80424,                0.27778,                0.39167,                 0.1908,                 1.7049,                 3.2863,                 2.0004,             0.00033999,             0.00033999,             0.00033999
                      8,                 1.4312,                 1.8651,                 1.5554,                      1,                0.05679,                 0.4626,                0.22249,                 1.6435,                 3.1387,                 1.9144,             0.00038159,             0.00038159,             0.00038159
                      9,                 1.2604,                 1.7602,                 1.4486,                0.96397,                0.11489,                0.50045,                0.28773,                 1.6493,                 3.0346,                 1.9175,             0.00042093,             0.00042093,             0.00042093
                     10,                 1.3838,                 1.7144,                 1.4984,                0.91745,                0.38707,                0.54696,                0.28292,                 1.6994,                 2.9297,                 1.9544,               0.000458,               0.000458,               0.000458
                     11,                 1.3308,                 1.4741,                   1.44,                0.89642,                0.44179,                0.58098,                0.38499,                 1.7928,                 2.9322,                 2.0483,              0.0004928,              0.0004928,              0.0004928
                     12,                 1.3329,                 1.5059,                 1.4857,                0.79278,                0.35947,                0.52637,                0.29059,                 1.8063,                 2.9824,                 2.1496,             0.00052535,             0.00052535,             0.00052535
                     13,                 1.3476,                 1.3599,                 1.4097,                0.89063,                0.38001,                0.43823,                0.25456,                 1.8145,                 2.8612,                 2.1248,             0.00055563,             0.00055563,             0.00055563
                     14,                  1.444,                 1.5555,                 1.5266,                0.90442,                0.37588,                0.46479,                 0.2966,                  1.856,                 2.9096,                 2.1341,             0.00058365,             0.00058365,             0.00058365
                     15,                 1.3795,                 1.4532,                 1.4628,                 0.7896,                  0.357,                 0.4187,                0.27662,                 1.7812,                 3.0839,                 2.0633,              0.0006094,              0.0006094,              0.0006094
                     16,                  1.335,                 1.3215,                 1.3953,                0.81231,                0.35789,                0.44698,                0.29176,                 1.7808,                 3.0611,                 2.0514,             0.00063289,             0.00063289,             0.00063289
                     17,                 1.3498,                 1.4354,                  1.462,                0.81463,                0.47267,                0.47951,                0.33744,                 1.7983,                 2.9132,                 1.9967,             0.00065412,             0.00065412,             0.00065412
                     18,                 1.4099,                 1.3468,                 1.5039,                0.98387,                0.48807,                0.63254,                0.36273,                 1.8019,                 2.5297,                 1.9255,             0.00067308,             0.00067308,             0.00067308
                     19,                 1.3241,                 1.2459,                  1.402,                0.96478,                0.48997,                0.63532,                0.35083,                 1.7694,                 2.5051,                 1.9121,             0.00068978,             0.00068978,             0.00068978
                     20,                 1.2598,                 1.2976,                 1.3689,                0.95138,                0.48376,                0.59611,                0.32382,                 1.7543,                 2.5834,                 1.9282,             0.00070421,             0.00070421,             0.00070421
                     21,                 1.2763,                 1.2576,                 1.3973,                0.94743,                0.44154,                0.57561,                0.28286,                 1.7595,                 2.4377,                 1.9307,             0.00071639,             0.00071639,             0.00071639
                     22,                 1.3739,                 1.2583,                 1.4474,                0.96024,                0.44444,                0.59015,                0.31692,                 1.7216,                 2.5206,                 1.8912,             0.00072629,             0.00072629,             0.00072629
                     23,                 1.3063,                 1.2686,                 1.4192,                0.98604,                0.47222,                0.60542,                0.32385,                  1.704,                 2.5205,                 1.8704,             0.00073394,             0.00073394,             0.00073394
                     24,                 1.2711,                 1.1422,                 1.3803,                0.52962,                0.55952,                0.62158,                0.33435,                 1.7049,                 2.4096,                 1.8709,             0.00073932,             0.00073932,             0.00073932
                     25,                 1.3169,                 1.1956,                 1.3791,                0.51446,                0.57196,                0.58277,                0.31669,                 1.7164,                 2.4293,                  1.892,             0.00074244,             0.00074244,             0.00074244
                     26,                 1.2229,                 1.1047,                  1.334,                0.43807,                0.50198,                0.51549,                0.30871,                  1.697,                 2.5724,                 1.8835,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.2604,                 1.0904,                  1.359,                0.49847,                 0.4977,                0.53198,                0.31335,                 1.6916,                 2.5747,                 1.8881,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.2575,                 1.0756,                 1.3568,                0.56587,                 0.4959,                 0.5535,                0.31113,                 1.7241,                 2.5949,                 1.9435,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.3268,                 1.0983,                 1.3303,                0.59064,                0.49353,                0.57254,                0.34002,                 1.7015,                 2.5292,                 1.9208,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.1698,                 1.0444,                 1.2979,                0.78165,                0.49734,                0.60863,                0.38716,                 1.7216,                 2.4238,                 1.9173,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.1929,                0.94053,                  1.288,                0.97353,                0.48686,                0.62036,                 0.3873,                 1.7178,                 2.4079,                 1.9086,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.1407,                0.97478,                 1.2467,                0.98506,                 0.4546,                0.61741,                0.38463,                  1.729,                 2.4907,                 1.9428,             0.00058017,             0.00058017,             0.00058017
